level,rep,comment
L0,0,"This portfolio emphasizes lower-volatility, defensive sectors such as healthcare, consumer staples, telecom, and diversified large-cap technology while limiting exposure to more cyclical names. The weights are long-only, fully invested, and spread across all 30 stocks to improve diversification. It is designed for a risk-averse investor by favoring stability, cash flow strength, and sector balance."
L1,0,"This portfolio emphasizes higher-return stocks with relatively favorable risk-adjusted characteristics while giving substantial weight to lower-volatility defensive names such as WMT, PG, JNJ, MRK, KO, and MCD. It avoids or minimizes negative-return and high-volatility stocks like MMM, VZ, BA, DOW, and INTC, and spreads exposure across technology, healthcare, consumer, financials, and industrials to reduce concentration risk."
L2,0,"The portfolio was constructed using a long-only mean-variance objective with lambda = 0.5, maximizing expected return while penalizing covariance-based risk under the full-investment constraint. Because the investor is risk-averse, the solution tilts toward high risk-adjusted return stocks and lower-volatility diversifiers such as MRK, PG, WMT, and AMGN, while avoiding negative-return names and several high-variance stocks."
L3,0,"The portfolio was constructed using constrained mean-variance optimization with lambda = 0.5, enforcing long-only weights and full investment. Given the risk-averse objective, the solution tilts toward high expected return names with comparatively favorable covariance structure while excluding negative-return or weak risk-adjusted assets. The result is a diversified allocation across technology, healthcare, payments, consumer staples, retail, and selective cyclicals."
L0,1,"This portfolio emphasizes defensive, high-quality companies in healthcare, consumer staples, telecom, and broad technology while limiting exposure to more cyclical names. Weights are fully long-only, diversified across all 30 stocks, and tilted toward lower-volatility large-cap businesses to suit a risk-averse investor."
L1,1,"This portfolio emphasizes stocks with relatively strong expected returns while giving larger weights to lower-volatility, lower-correlation defensive names such as JNJ, MRK, PG, WMT, KO, and MCD. It limits or excludes negative-return and high-volatility stocks like MMM, INTC, VZ, BA, and DIS, while keeping moderate exposure to higher-return growth names such as MSFT, AAPL, AMZN, V, and UNH. The result is a long-only diversified allocation designed for a risk-averse investor."
L2,1,"This portfolio was constructed using a long-only mean-variance approach with lambda = 0.5, favoring stocks with stronger expected returns while penalizing higher variance and covariance. The solution concentrates on relatively attractive risk-adjusted names such as MSFT, AAPL, AMZN, MRK, PG, UNH, V, WMT, and AMGN, while assigning zero weight to weaker or less efficient assets."
L3,1,"The portfolio was constructed using constrained mean-variance optimization with lambda = 0.5, emphasizing higher expected return stocks while penalizing covariance risk and enforcing long-only fully invested weights. Assets with weak expected returns or unfavorable risk-adjusted profiles were driven to zero, while lower-volatility diversifiers and strong-return names received larger allocations. The result is a diversified portfolio tilted toward MSFT, AAPL, AMZN, MRK, WMT, UNH, PG, AMGN, CRM, and V."
L0,2,"This portfolio emphasizes lower-volatility, defensive, and high-quality large-cap stocks while maintaining exposure across technology, healthcare, consumer staples, financials, industrials, energy, and communication services. Higher weights were assigned to stable cash-flow businesses such as JNJ, MSFT, PG, UNH, WMT, KO, and MRK, while more cyclical or higher-uncertainty names such as BA, DOW, and DIS received smaller allocations. The weights are long-only, non-negative, and sum exactly to 1."
L1,2,"This portfolio emphasizes higher-return stocks with relatively favorable risk profiles while giving substantial weight to lower-volatility defensive names such as WMT, JNJ, PG, MRK, KO, and MCD. It avoids or minimizes negative-return and high-volatility stocks, and diversifies across technology, healthcare, consumer staples, financials, and industrials to reduce overall portfolio risk through imperfect correlations."
